transcript_type	transcript_type_broad	freq
3prime_overlapping_ncRNA	lncRNA	10
antisense	lncRNA	14930
bidirectional_promoter_lncRNA	lncRNA	715
lincRNA	lncRNA	30775
macro_lncRNA	lncRNA	9
processed_transcript	lncRNA	78867
sense_intronic	lncRNA	878
sense_overlapping	lncRNA	215
non_stop_decay	nmd	313
nonsense_mediated_decay	nmd	142846
protein_coding	protein_coding	1243574
polymorphic_pseudogene	pseudogene	958
processed_pseudogene	pseudogene	17449
pseudogene	pseudogene	365
transcribed_processed_pseudogene	pseudogene	513
transcribed_unitary_pseudogene	pseudogene	39
transcribed_unprocessed_pseudogene	pseudogene	1373
translated_processed_pseudogene	pseudogene	26
unitary_pseudogene	pseudogene	199
unprocessed_pseudogene	pseudogene	8743
retained_intron	retained_intron	101930
IG_C_gene	short_ncRNA	225
IG_C_pseudogene	short_ncRNA	4
IG_D_gene	short_ncRNA	57
IG_D_pseudogene	short_ncRNA	6
IG_J_gene	short_ncRNA	42
IG_LV_gene	short_ncRNA	18
IG_pseudogene	short_ncRNA	5
IG_V_gene	short_ncRNA	1767
IG_V_pseudogene	short_ncRNA	423
miRNA	short_ncRNA	4404
misc_RNA	short_ncRNA	1132
Mt_rRNA	short_ncRNA	4
Mt_tRNA	short_ncRNA	44
ribozyme	short_ncRNA	44
rRNA	short_ncRNA	708
scaRNA	short_ncRNA	102
scRNA	short_ncRNA	2
snoRNA	short_ncRNA	3016
snRNA	short_ncRNA	2766
sRNA	short_ncRNA	4
TEC	short_ncRNA	6179
TR_C_gene	short_ncRNA	98
TR_D_gene	short_ncRNA	12
TR_J_gene	short_ncRNA	210
TR_J_pseudogene	short_ncRNA	20
TR_V_gene	short_ncRNA	1206
TR_V_pseudogene	short_ncRNA	81
